Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Surface de feu à l'arrivée des secours > 0,1 ha";"Type de peuplement";"Connaissance de la cause";Nature;"Intervention de l'équipe RCCI";"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Hygrométrie (%)";"Vitesse moyenne du vent (Km/h)";"Direction du vent";"Température (°C)";"Précision de la donnée"
2022;20;"15";"15081";"Jou-sous-Monjou";"2022-01-24 18:38:00";50000;0;;50000;;;50000;0;0;0;"Estimées";;;;"Involontaire (travaux)";;;;;;;;;;""
2022;1608;"88";"88258";"Lamarche";"2022-01-24 21:36:00";4;4;;0;;;0;0;0;0;"Estimées";;;;;;;;;;;;;;""
2022;14359;"66";"66193";"Serdinya";"2022-01-25 13:08:00";18600;;18600;;;;;;;;;"Non";"1";"Certaine";"Involontaire (travaux)";"Non";;;;;50;43;"NO";6;""
2022;18;"15";"15202";"Saint-Martin-Valmeroux";"2022-01-25 13:57:00";800;0;;800;;;800;0;0;0;"Estimées";;;;"Involontaire (travaux)";;;;;;;;;;""
2022;13642;"2B";"2B184";"Olcani";"2022-01-25 16:28:00";300;;;;;;;;;;;;;;;;;;;;;;;;""
2022;20454;"06";"06141";"Toudon";"2022-01-25 17:41:00";150;;;;;;;;;;;"Non";;"Inconnue";;;;;;;;;;;""
2022;14020;"07";"07093";"Genestelle";"2022-01-26 12:17:00";170980;30000;140980;;;;;;;;;"Oui";"3";"Certaine";"Involontaire (particulier)";;;;;;;20;"NO";11;""
2022;14053;"06";"06033";"Carros";"2022-01-26 12:44:00";1600;;1600;;;;;;;;;"Oui";"1";"Inconnue";;;;;;;;;;;""
2022;15265;"07";"07153";"Mayres";"2022-01-26 13:51:00";5000;;;;;;;;;;;"Oui";"3";"Certaine";"Involontaire (particulier)";;;;;;;20;"N";1;""
2022;14845;"48";"48119";"Prévenchères";"2022-01-26 15:55:00";80000;;80000;;;;;;;;;"Oui";"1";"Certaine";"Involontaire (travaux)";"Non";;;;;;;;;""
2022;19710;"13";"13005";"Aubagne";"2022-01-26 16:21:00";20;20;;;;;;;;;;"Non";"1";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;19525;"13";"13092";"Saint-Chamas";"2022-01-26 17:36:00";400;400;;;;;;;;;;"Non";"1";"Inconnue";;"Non";;;;;;;;;""
2022;19480;"13";"13068";"Paradou";"2022-01-26 17:50:00";600;600;;;;;;;;;;"Non";"1";"Inconnue";;"Non";;;;;;;;;""
2022;15946;"11";"11398";"Treilles";"2022-01-27 07:21:00";500;;;;;;;;;;;;;"Certaine";"Accidentelle";"Oui";;;;;;;;;""
2022;21750;"2A";"2A031";"Bastelica";"2022-01-27 10:08:00";720000;15000;700000;;;;;;;5000;;;"1";"Inconnue";;"Non";;;;;;;;;""
2022;14846;"48";"48036";"Cassagnas";"2022-01-27 12:57:00";10000;;10000;;;;;;;;;"Oui";"1";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;14447;"66";"66049";"Céret";"2022-01-27 13:28:00";6000;;;;;;;;;6000;;"Oui";"6";"Certaine";"Involontaire (particulier)";"Non";;;;;9;9;"SE";12;""
2022;15947;"11";"11375";"Seignalens";"2022-01-27 14:03:00";22900;;;;;;;;;;;;;;;;;;;;;;;;""
2022;14848;"48";"48116";"Pont de Montvert - Sud Mont Lozère";"2022-01-27 14:09:00";200000;;200000;;;;;;;;;"Oui";;"Certaine";"Involontaire (travaux)";"Non";;;;;;;;;""
2022;14849;"48";"48117";"Pourcharesses";"2022-01-27 14:58:00";10000;;10000;;;;;;;;;"Non";"1";"Inconnue";;"Non";;;;;;;;;""
2022;14086;"06";"06029";"Cannes";"2022-01-27 15:03:00";10;;10;;;;;;;;;"Non";"2";"Inconnue";;;;;;;;;;;""
2022;14075;"06";"06021";"Bonson";"2022-01-27 17:18:00";250;;250;;;;;;;;;"Non";"1";"Inconnue";;;;;;;;;;;""
2022;4;"71";"71170";"Demigny";"2022-01-27 18:37:00";10;0;;10;;;10;0;0;0;"Estimées";;;;;;;;;;;;;;""
2022;17292;"30";"30316";"Sénéchas";"2022-01-28 06:26:00";5000;;;;;;;;;;;;;;;;;;;;;;;;""
2022;14482;"66";"66069";"Espira-de-l'Agly";"2022-01-28 07:30:00";500;;500;;;;;;;;;"Non";"1";"Inconnue";;"Non";;;;;60;7;"SE";3;""
2022;14850;"48";"48119";"Prévenchères";"2022-01-28 11:27:00";1000;;1000;;;;;;;;;"Non";"1";"Inconnue";;"Non";;;;;;;;;""
2022;14669;"06";"06041";"Cipières";"2022-01-28 14:25:00";1500;;;;;;;;;;;"Non";"1";"Probable";"Malveillance";"Non";;;;;;;;;""
2022;17220;"34";"34268";"Saint-Jean-de-la-Blaquière";"2022-01-28 15:00:00";26625;26625;;;;;;;;;;"Oui";"1";"Certaine";"Malveillance";"Oui";;;;;;;;;""
2022;14119;"04";"04139";"Noyers-sur-Jabron";"2022-01-28 15:13:00";500;500;;;;;;;;;;;;"Inconnue";;"Non";;;;;;;;;""
2022;13647;"2B";"2B354";"Vivario";"2022-01-28 16:36:00";200;;;;;;;;;;;;;"Certaine";"Malveillance";;;;;;;;;;""
2022;14769;"34";"34214";"Pouzolles";"2022-01-28 16:53:00";97231;;97231;;;;;;;;;"Oui";"1";"Probable";"Involontaire (travaux)";"Non";;;;;;;;;""
2022;19447;"13";"13065";"Mouriès";"2022-01-28 17:23:00";2000;2000;;;;;;;;;;"Non";"1";"Certaine";"Accidentelle";"Non";;;;;;;;;""
2022;15146;"2A";"2A322";"Tasso";"2022-01-28 18:30:00";70100;18000;52100;;;;;;;;;;"4";"Inconnue";;;;;;;;;;;""
2022;15948;"11";"11200";"Lespinassière";"2022-01-29 04:48:00";9690;;;;;;;;;;;;;;;;;;;;;;;;""
2022;14548;"66";"66224";"Villelongue-de-la-Salanque";"2022-01-29 08:36:00";10000;;;;;;;;;10000;;"Non";"6";"Probable";"Involontaire (particulier)";"Oui";;;;;34;8;"NO";12;""
2022;18356;"84";"84135";"Uchaux";"2022-01-29 09:43:00";50;50;;;;;;;;;;;;"Probable";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;17271;"30";"30154";"Mandagout";"2022-01-29 10:34:00";6376;6376;;;;;;;;;;;"4";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;13652;"2B";"2B317";"Santa-Reparata-di-Moriani";"2022-01-29 11:23:00";5000;;;;;;;;;;;;;;;;;;;;;;;;""
2022;13649;"2B";"2B135";"Isolaccio-di-Fiumorbo";"2022-01-29 13:44:00";50000;10000;40000;;;;;;;;;;"1";"Probable";"Malveillance";"Non";;;;;;;;;""
